지역명,비율(%),지표명,연도
중1,23.8,우울감,2021
중2,26.0,우울감,2021
중3,28.1,우울감,2021
고1,26.7,우울감,2021
고2,27.7,우울감,2021
고3,28.5,우울감,2021
중학교,25.9,우울감,2021
고등학교,27.7,우울감,2021
서울,26.8,우울감,2021
부산,24.2,우울감,2021
대구,24.9,우울감,2021
인천,24.2,우울감,2021
광주,27.2,우울감,2021
대전,26.5,우울감,2021
울산,23.9,우울감,2021
세종,27.1,우울감,2021
경기,28.4,우울감,2021
강원,28.5,우울감,2021
충북,28.6,우울감,2021
충남,30.1,우울감,2021
전북,27.7,우울감,2021
전남,25.7,우울감,2021
경북,24.0,우울감,2021
경남,24.9,우울감,2021
제주,28.0,우울감,2021
소계,22.4,우울감,2021
중1,19.3,우울감,2021
중2,21.9,우울감,2021
중3,24.2,우울감,2021
고1,21.8,우울감,2021
고2,23.8,우울감,2021
고3,23.7,우울감,2021
중학교,21.7,우울감,2021
고등학교,23.1,우울감,2021
서울,22.5,우울감,2021
부산,19.7,우울감,2021
대구,21.9,우울감,2021
인천,20.6,우울감,2021
광주,22.3,우울감,2021
대전,20.7,우울감,2021
울산,19.6,우울감,2021
세종,22.5,우울감,2021
경기,24.6,우울감,2021
강원,25.7,우울감,2021
충북,21.8,우울감,2021
충남,25.5,우울감,2021
전북,22.1,우울감,2021
전남,20.5,우울감,2021
경북,19.2,우울감,2021
경남,20.1,우울감,2021
제주,22.7,우울감,2021
소계,31.4,우울감,2021
중1,28.5,우울감,2021
중2,30.4,우울감,2021
중3,32.3,우울감,2021
고1,32.0,우울감,2021
고2,32.0,우울감,2021
고3,33.6,우울감,2021
중학교,30.4,우울감,2021
고등학교,32.5,우울감,2021
서울,31.4,우울감,2021
부산,29.0,우울감,2021
대구,28.2,우울감,2021
인천,27.9,우울감,2021
광주,32.5,우울감,2021
대전,32.8,우울감,2021
울산,28.7,우울감,2021
세종,31.5,우울감,2021
경기,32.4,우울감,2021
강원,31.6,우울감,2021
충북,36.0,우울감,2021
충남,35.0,우울감,2021
전북,33.7,우울감,2021
전남,31.2,우울감,2021
경북,29.3,우울감,2021
경남,30.0,우울감,2021
제주,33.8,우울감,2021
중1,3.1,자살시도,2022
중2,2.9,자살시도,2022
중3,3.0,자살시도,2022
고1,2.0,자살시도,2022
고2,2.4,자살시도,2022
고3,2.4,자살시도,2022
중학교,3.0,자살시도,2022
고등학교,2.3,자살시도,2022
소계,2.0,자살시도,2022
중1,2.3,자살시도,2022
중2,2.0,자살시도,2022
중3,2.1,자살시도,2022
고1,1.4,자살시도,2022
고2,2.0,자살시도,2022
고3,1.9,자살시도,2022
중학교,2.2,자살시도,2022
고등학교,1.8,자살시도,2022
소계,3.4,자살시도,2022
중1,3.9,자살시도,2022
중2,3.9,자살시도,2022
중3,3.9,자살시도,2022
고1,2.6,자살시도,2022
고2,2.7,자살시도,2022
고3,3.0,자살시도,2022
중학교,3.9,자살시도,2022
고등학교,2.8,자살시도,2022
중1,25.1,우울감,2023
중2,25.9,우울감,2023
중3,28.0,우울감,2023
고1,26.4,우울감,2023
고2,26.1,우울감,2023
고3,24.3,우울감,2023
중학교,26.3,우울감,2023
고등학교,25.6,우울감,2023
서울,27.5,우울감,2023
부산,21.5,우울감,2023
대구,24.9,우울감,2023
인천,26.3,우울감,2023
광주,25.2,우울감,2023
대전,26.6,우울감,2023
울산,25.9,우울감,2023
세종,27.0,우울감,2023
경기,27.1,우울감,2023
강원,25.0,우울감,2023
충북,25.5,우울감,2023
충남,25.7,우울감,2023
전북,28.6,우울감,2023
전남,24.2,우울감,2023
경북,25.7,우울감,2023
경남,22.7,우울감,2023
제주,26.4,우울감,2023
소계,21.4,우울감,2023
중1,19.6,우울감,2023
중2,21.1,우울감,2023
중3,23.7,우울감,2023
고1,21.3,우울감,2023
고2,21.6,우울감,2023
고3,21.2,우울감,2023
중학교,21.5,우울감,2023
고등학교,21.4,우울감,2023
서울,23.3,우울감,2023
부산,17.7,우울감,2023
대구,22.3,우울감,2023
인천,20.6,우울감,2023
광주,21.6,우울감,2023
대전,22.7,우울감,2023
울산,22.7,우울감,2023
세종,24.9,우울감,2023
경기,22.3,우울감,2023
강원,20.6,우울감,2023
충북,18.7,우울감,2023
충남,20.1,우울감,2023
전북,22.4,우울감,2023
전남,20.6,우울감,2023
경북,20.9,우울감,2023
경남,17.5,우울감,2023
제주,21.9,우울감,2023
소계,30.9,우울감,2023
중1,30.9,우울감,2023
중2,30.9,우울감,2023
중3,32.5,우울감,2023
고1,31.9,우울감,2023
고2,30.8,우울감,2023
고3,27.6,우울감,2023
중학교,31.5,우울감,2023
고등학교,30.2,우울감,2023
서울,32.0,우울감,2023
부산,25.5,우울감,2023
대구,27.7,우울감,2023
인천,32.2,우울감,2023
광주,29.0,우울감,2023
대전,30.9,우울감,2023
울산,29.4,우울감,2023
세종,29.1,우울감,2023
경기,32.1,우울감,2023
강원,29.7,우울감,2023
충북,32.7,우울감,2023
충남,31.8,우울감,2023
전북,35.2,우울감,2023
전남,27.9,우울감,2023
경북,31.0,우울감,2023
경남,28.3,우울감,2023
제주,31.2,우울감,2023
중2,43.0,스트레스,2024
중3,42.6,스트레스,2024
고1,42.3,스트레스,2024
고2,44.3,스트레스,2024
고3,43.6,스트레스,2024
